Date,Open,High,Low,Close,Volume
2013.4.9,"27,900","28,200","27,300","27,800","4,473,759"
2013.4.10,"28,150","28,200","27,800","27,950","2,896,417"
2013.4.11,"28,450","29,100","28,300","29,000","5,236,997"
2013.4.12,"29,050","29,350","28,650","28,800","3,407,336"
2013.4.15,"28,950","29,350","28,700","29,150","2,715,965"
2013.4.16,"28,850","29,250","28,750","29,100","3,276,359"
2013.4.17,"29,350","29,400","28,650","28,750","3,075,896"
2013.4.18,"28,400","28,500","27,850","27,900","5,206,918"
2013.4.19,"27,900","28,850","27,850","28,800","3,895,261"
2013.4.22,"28,800","29,100","28,600","29,000","2,012,549"
2013.4.23,"29,050","29,050","28,450","28,850","2,009,817"
2013.4.24,"29,400","29,600","29,000","29,100","4,683,116"
2013.4.25,"29,650","29,950","29,450","29,500","11,394,824"
2013.4.26,"29,400","29,750","29,250","29,450","2,667,806"
2013.4.29,"29,550","29,850","29,500","29,550","2,368,216"
2013.4.30,"29,850","30,000","29,550","29,900","4,973,679"
2013.5.2,"29,750","29,850","29,300","29,450","2,792,031"
2013.5.3,"29,650","29,700","29,000","29,550","3,767,197"
2013.5.6,"29,700","29,850","28,850","28,900","4,225,049"
2013.5.7,"28,900","28,950","28,400","28,600","3,154,316"
2013.5.8,"28,900","28,900","28,400","28,550","3,400,637"
2013.5.9,"28,500","29,250","28,500","29,050","4,575,248"
2013.5.10,"29,200","29,550","29,050","29,100","4,776,435"
2013.5.13,"29,000","29,200","28,900","29,100","2,518,819"
2013.5.14,"29,150","29,600","29,150","29,500","2,701,509"
2013.5.15,"29,550","29,850","29,500","29,750","4,030,862"
2013.5.16,"29,900","30,200","29,850","30,050","6,423,610"
2013.5.20,"30,500","30,850","30,300","30,700","6,958,530"
2013.5.21,"30,800","31,000","30,600","30,600","5,033,266"
2013.5.22,"30,900","31,600","30,850","31,300","7,608,286"
2013.5.23,"31,400","32,000","31,250","31,400","7,512,672"
2013.5.24,"31,800","31,850","31,050","31,400","3,871,042"
2013.5.27,"31,550","31,900","31,400","31,400","2,849,669"
2013.5.28,"31,400","31,650","30,850","31,400","4,431,590"
2013.5.29,"31,700","32,150","31,550","32,000","4,381,622"
